"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @KompasTV: Siapa sangka, dahulu kita hanya bisa memandang para pembalap kelas dunia beradu di lintasan dalam layar televisi. Namun, kita…",FALSE,0,NA,2021-11-29 06:58:10,FALSE,NA,"1465213479481004034",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dergrosenjoe135",6,TRUE,FALSE,NA,NA
"@bosedii @heru_hermawan06 @Jamieee474 @rokigareng @aernee @KompasTV Kadrun Ogeb
Sirkuit Mandalika adl Proyek Strate… https://t.co/cjvXb1HPZo",FALSE,4,"bosedii",2021-11-29 06:57:10,TRUE,"1464793181598453762","1465213228305117187","1355129413","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_L1n_L1n__Kcl",1,FALSE,FALSE,NA,NA
"Saksikan #AIMAN episode “COPET HIGH CLASS BALAP MANDALIKA” malam ini pkl 20.00 WIB, Eksklusif di Kompas TV!
 
Strea… https://t.co/TjLmfhnlKo",FALSE,2,"KompasTV",2021-11-29 06:56:28,TRUE,"1465212845717553153","1465213050890305538","71436318","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KompasTV",0,FALSE,FALSE,NA,NA
"RT @waskita_karya: Jangan lupa yaa share ke #MiminKita foto foto hits kalian disana ya <U+0001F60E>

Happy weekend!

#LiburanKita #WaskitaKarya
#Manda…",FALSE,0,NA,2021-11-29 06:56:11,FALSE,NA,"1465212978853122053",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HendrickBigWin",4,TRUE,FALSE,NA,NA
"RT @KompasTV: Siapa sangka, dahulu kita hanya bisa memandang para pembalap kelas dunia beradu di lintasan dalam layar televisi. Namun, kita…",FALSE,0,NA,2021-11-29 06:56:10,FALSE,NA,"1465212976353316866",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","XDejack",6,TRUE,FALSE,NA,NA
"RT @atr_bpn: Halo #SobATRBPN Kawasan Ekonomi Khusus (KEK) Mandalika terwujud karena adanya pengadaan tanah yang berkualitas.

Yuk kapan kit…",FALSE,0,NA,2021-11-29 06:54:06,FALSE,NA,"1465212457866043397",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kantahkabsragen",15,TRUE,FALSE,NA,NA
"Sebelum bertatap muka langsung dengan jaringan pencopet ini, @AimanWitjaksono terlebih dahulu mengajak Anda untuk m… https://t.co/hIFknJ5P2r",FALSE,0,"KompasTV",2021-11-29 06:53:35,TRUE,"1465212031024308226","1465212326726946818","71436318","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KompasTV",0,FALSE,FALSE,NA,NA
"RT @pgmoraaji: Yang penting gak makan teman ya <U+0001F604>
Senin Pagi Sarapan Jam 8 di Mandalika https://t.co/zL2THtvrEX",FALSE,0,NA,2021-11-29 06:53:21,FALSE,NA,"1465212268585500673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wongkalibanteng",25,TRUE,FALSE,NA,NA
"@getih_gen1 Koq mirip motor yg uji coba di mandalika ya?? Ijo..

<U+0001F633><U+0001F644><U+0001F914>",FALSE,3,"getih_gen1",2021-11-29 06:52:54,FALSE,"1465185520661635082","1465212152680124416","1376111546389045250","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MobZack",0,FALSE,FALSE,NA,NA
"Tangan-tangan cekatan namun jahat beraksi. Berbaur dengan penonton yang matanya tertuju pada para pembalap, kelompo… https://t.co/geyc9UCzsk",FALSE,0,"KompasTV",2021-11-29 06:51:15,TRUE,"1465211556782690306","1465211738362576899","71436318","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KompasTV",0,FALSE,FALSE,NA,NA
