"","text","score","polarity"
"276"," faktanya sirkuit mandalika  terletak  nusa tenggara barat indonesia  memiliki  tikungan  detail track s",0,"Netral"
"277","  world superbike worldsbk  motogp sirkuit mandalika    dikabarkan masuk kalender gt world challenge",1,"Positif"
"278","  world superbike worldsbk  motogp sirkuit mandalika    dikabarkan masuk kalender gt world challenge",1,"Positif"
"279","  world superbike worldsbk  motogp sirkuit mandalika    dikabarkan masuk kalender gt world challenge",1,"Positif"
"280"," world superbike worldsbk  motogp sirkuit mandalika    dikabarkan masuk kalender gt world c ",1,"Positif"
"281","  pembebasan lahan sirkuit mandalika  selsaikan ",0,"Netral"
"282","sirkuit mandalika  menyambut motogp  wsbk        ",0,"Netral"
"283","gua liat gokil  nih indonesia  sirkuit mandalika formula e  drag race",0,"Netral"
"284","        ",0,"Netral"
"285"," repot   da sirkuit mandalika tinggal lobi dikit  mw",-1,"Negatif"
"286","    faham cebong  tolol  sirkuit mandalika  sby presiden sdh  rencanak ",-1,"Negatif"
"287","tekad  diusung pebalap mario suryo aji  tampil  sirkuit mandilika ajang balap moto musim   ingi ",1,"Positif"
"288","  musim  pertamina mandalika international street circuit lombok   tuan rumah   kejuaraan",0,"Netral"
"289"," ijin share kondisi  sirkuit mandalika ",0,"Netral"
"290"," musim  pertamina mandalika international street circuit lombok   tuan rumah    ",0,"Netral"
"291","sambut motogp  wsbk  sirkuit mandalika penuhihomologasi ",0,"Netral"
"292"," lombok   mantan panglima tni marsekal purn hadi tjahjanto berharap pemerintah daera ",1,"Positif"
"293","        ",0,"Netral"
"294","   bangun sirkuit  nolhahahaha pertamina mandalika sirkuit tuh pembangunan  nol t ",1,"Positif"
"295"," catatan spesial sirkuit mandalika  musim  gelar wsbk ",1,"Positif"
"296"," pertamina mandalika international street circuit   tuan rumah  ajang balap internasional gt world challenge a",0,"Netral"
"297"," oalaah  ak liat  gugel pulai tdk berpenghuni gitu ya kalo  lombok  sirkuit sm pantai mandalika ",-1,"Negatif"
"298","        ",0,"Netral"
"299","catatan spesial sirkuit mandalika  musim  gelar wsbk ",1,"Positif"
"300","sirkuit mandalika  masuk  kalender balap internasional balap  tuh   ",1,"Positif"
"301","yesssssss i like it    berbau laut n pantainya sepert sirkuit mandalika  lbh mudah  panitia un ",1,"Positif"
"302","habis dipake balapan  sirkuit mandalika ",0,"Netral"
"303","  musim  pertamina mandalika international street circuit lombok   tuan rumah   kejuaraan b",0,"Netral"
"304","  world superbike worldsbk  motogp sirkuit mandalika    dikabarkan masuk kalender gt world challenge",1,"Positif"
"305"," world superbike worldsbk  motogp sirkuit mandalika    dikabarkan masuk kalender gt world c ",1,"Positif"
"306"," konon  legenda putri mandalika   sirkuit mandalika lombok ",0,"Netral"
"307"," sentul  sirkuit   mandalika    ngadain  ancol gubernur  pleciden  beda ",0,"Netral"
"308"," presiden jokowi  mantan panglima tni pimpin motogp indonesia   sirkuit mandalika   ",0,"Netral"
"309","sambut ajang motogp   sirkuit mandalika pemprov ntt  rp miliar  benahi infrastruktur pendukung ",0,"Netral"
"310","konon  legenda putri mandalika   sirkuit mandalika lombok ",0,"Netral"
"311","   sirkuit mandalika",0,"Netral"
"312","  rangka menyambut event balapan motogp  world superbike  itdc  mgpa fokus meningkatkan kelengkapan penyelengg",1,"Positif"
"313"," rangka menyambut event balapan motogp  world superbike  itdc  mgpa fokus meningkatkan kelengkapan p ",1,"Positif"
"314"," ceritanya berusaha saingin sirkuit mandalika yg deket pantai gituh  gimana",1,"Positif"
"315","sirkuit mandalika fokus berbenah jelang motogp   ",0,"Netral"
"316","   sirkuit mandalika tuan rumah gt world challenge asia  dirut itdc tunggu pengumuman ",0,"Netral"
"317","sirkuit mandalika tuan rumah gt world challenge asia  dirut itdc tunggu pengumuman  via ",0,"Netral"
"318","sambut ajang motogp   sirkuit mandalika pemprov ntt  rp miliar  benahi infrastruktur pendukung ",0,"Netral"
"319"," musim  pertamina mandalika international street circuit lombok   tuan rumah    ",0,"Netral"
"320","  ngakakakkk ",0,"Netral"
"321","  ga    nanyain  sirkuit mandalika dibangun",0,"Netral"
"322","pengelola hotel  gili terawangan kabupaten lombok utara ntb optimis kawasan    diramaikan wisatawa ",1,"Positif"
"323"," pertamina mandalika international street circuit   tuan rumah  ajang balap internasional gt world challenge a",0,"Netral"
"324","sirkuit mandalika tuan rumah gt world challenge asia  dirut itdc tunggu pengumuman    via ",0,"Netral"
"325","sirkuit mandalika   tuan rumah gt world challenge asia  ",0,"Netral"
"326","presiden jokowi  mantan panglima tni pimpin motogp indonesia   sirkuit mandalika   ",0,"Netral"
"327"," pertamina mandalika international street circuit   tuan rumah  ajang balap internasional gt world challenge a",0,"Netral"
"328","pertamina mandalika international street circuit   tuan rumah  ajang balap internasional gt world ch ",0,"Netral"
"329","jelang motogp indonesia  sirkuit mandalika honda didesak  cari pengganti marc marquez ",-2,"Negatif"
"330","     bangun sirkuit  nol  formula e beda  formula   dibangun ",0,"Netral"
"331","ngomong formula e indonesia   sirkuit sentul  mandalika ya    ancol ya  wisata ya c ",-3,"Negatif"
"332"," contohlah  mandalikatiba  sirkuit   superbike   motogp   formula one ",0,"Netral"
"333"," formula e  digelar  ancol panitia pelaksana   membangun sirkuit   balapan   digelar",1,"Positif"
"334","formula e  digelar  ancol panitia pelaksana   membangun sirkuit   balapan  baka ",1,"Positif"
"335"," sdh cocoklah  ancol biar  yg menonton  beriburan  pantaisama   motorgp   ",0,"Netral"
"336","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"337","  sirkuit berkelas internasional mandalika  lombok nusa tenggara timur indonesia video bpk presiden jokowi   internat",0,"Netral"
"338","   sirkuit      monas  gitu  selesai yaa dibongkar  kayak tr ",1,"Positif"
"339","   iyaa bg banjir  sirkuit mandalika kemaren  salah anies",-1,"Negatif"
"340","catatan luhut  ntb  gelar motogp  sirkuit mandalika  ",0,"Netral"
"341","resmi sirkuit mandalika masuk kalender balap mobil internasional gt world challenge   ",2,"Positif"
"342","catatan luhut  ntb  gelar motogp  sirkuit mandalika ",0,"Netral"
"343","kapal pesiar  disiapkan  mendukung motogp sirkuit mandalika  ",1,"Positif"
"344"," salah  titik  sirkuit mandalika ntb   lokasi digelarnya ajang wsbk mandalika  terendam air kar",-1,"Negatif"
"345","pertamina mandalika international street circuit sirkuit mandalika lombok ",0,"Netral"
"346"," batam   bangun sirkuit kayak mandalika  gak percaya    lihat aja  ",1,"Positif"
"347","maret  hadir moto gp  sirkuit mandalika sirkuit  tepi pantai dgn keindahan yg beda dgn sirkuit  dgn h ",1,"Positif"
"348"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"349","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"350"," jaket yg dipakai  jokowi wkt menjajal sirkuit mandalika adlh produksi  negeridari bandung brandnya rabbit ",0,"Netral"
"351","sirkuit mandalika masuk kalender gt world challenge ",1,"Positif"
"352"," semoga dg  sirkuit mandalika   membangkitkan semangat anak bangsa  dunia otomotif  balap motor  pembalap",3,"Positif"
"353","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"354","   menyaksikan langsung pembalappembalap dunia berlaga   mata  negeri     sirkuit mandalika",-2,"Negatif"
"355","  jokoei   saingan  anis anis dilarang pake monas dilarang  covid ",-2,"Negatif"
"356","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"357","  kaitannya dgn  ",0,"Netral"
"358","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"359","   udh dipasang mesinnya kayak ferrari sf  kimi klo  mesinnya   dibawa tes ",-1,"Negatif"
"360","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"361","pengajuan anggarannya   usulkan  kementerian  lembaga konsolidasinya   lakukan cuman untu ",0,"Netral"
"362","sirkuit mandalika tuan rumah gt world challenge asia ",0,"Netral"
"363","siapkah sirkuit mandalika gelar motogp  simak syarat   dipenuhi ",1,"Positif"
"364","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"365","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"366","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"367","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"368","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"369","   mampir  sirkuit mandalika   oktober    ",0,"Netral"
"370","sirkuit mandalika tuan rumah gt world challenge asia  ",0,"Netral"
"371","  mampir  sirkuit mandalika   oktober    ",0,"Netral"
"372","warga  tinggal   sirkuit mandalika  pindah jelang motogp indonesia    ",0,"Netral"
"373","semoga   melahirkan pembalappembalap profesional  menumbuhkan bengkelbengkel  berkualitas  bi ",3,"Positif"
"374","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"375","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"376"," ga heran sirkuit mandalika yg  gadang anti banjir pas even  gelar  jdi  ujan ujanan bul ",-1,"Negatif"
"377","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"378","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"379","  breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan rumah pa",1,"Positif"
"380"," breaking   gt world challenge asia resmi merilis kalender musim   sirkuit mandalika   tuan ru ",1,"Positif"
"381"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"382","imi ntb siapkan  event  sirkuit mandalika ",0,"Netral"
"383","        ",0,"Netral"
"384","sirkuit mandalika   titik tribun penonton   ",0,"Netral"
"385"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"386","diamdiam petinggi f menonton wsbk  sirkuit mandalika    ",0,"Netral"
"387"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"388"," wow sirkuit mandalika  grandstand penonton jelang motogp indonesia  ",0,"Netral"
"389"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"390"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"391","wow sirkuit mandalika  grandstand penonton jelang motogp indonesia  ",0,"Netral"
"392"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"393"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"394"," sirkuit mandalika    skan  gelar  sirkuit formula e  penuh lubang buaya  menyer ",-1,"Negatif"
"395","selamat  captain   wakil captain   periode     berharapan ",1,"Positif"
"396"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"397","   menyaksikan langsung pembalappembalap dunia berlaga   mata  negeri     sirkuit mandalika",-2,"Negatif"
"398"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"399"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"400"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"401","warga    lahan  sirkuit mandalika pujut lombok  ntb  pindah    pemili ",0,"Netral"
"402"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"403"," sirkuit mandalika tergenang pemprov ntb janji benahi drainase ",0,"Netral"
"404"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"405"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"406","  sih   mutusin lokasi formula e udeh pinjam aja tuh sirkuit kolam  mandalika ",-1,"Negatif"
"407"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"408"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"409","    sirkuit mandalika yg  viral ya vidio lucu  kusus  anis yg kenak prenk ",-1,"Negatif"
"410"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"411"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"412"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"413"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"414"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"415"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"416"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"417"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"418"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"419"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"420"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"421"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"422","sirkuit mandalika   tuan rumah  tiket motogp indonesia  dijual ",0,"Netral"
"423"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"424"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"425","  btw    banget ya kayak sirkuit mandalika   besarkan  anak ",0,"Netral"
"426"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"427"," aing  cosplay  duta sirkuit mandalika  kudu rapih put",1,"Positif"
"428","       dibebaskan   ditangk ",0,"Netral"
"429"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"430","  kalo sirkuit mandalika noh hebatsirkuitnya   utk berenangmancingselancar airdll ",0,"Netral"
"431"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"432","    jokowi ahli bawa traktor tanam cabe hujanan pembalap  sirkuit mandalika derma ",1,"Positif"
"433"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"434"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"435"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"436"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"437"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"438"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"439"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"440"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"441"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"442","warga  tinggal  lahan kawasan sirkuit mandalika  pindah  ",0,"Netral"
"443"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"444"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"445","mgpa  umumkan harga tiket motogp indonesia   sirkuit mandalika   ",0,"Netral"
"446"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"447"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"448"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"449","lek enek  dijalani sek ae wes tenan kui nko ending e mesti ra karu karuan    poto ng sirkuit mandalika ",-1,"Negatif"
"450","jadwal motogp  terbaru gp indonesia  sirkuit mandalika digelar  musim  via ",0,"Netral"
"451"," mandalika  bagus gimana  blm   sirkuit internasional yg bikin kru kerja keras nyer ",2,"Positif"
"452"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"453"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"454"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"455"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"456"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"457"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"458"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"459"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"460"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"461"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"462"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"463"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"464"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"465"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"466"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"467"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"468"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"469"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"470"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"471"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"472"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"473"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"474"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"475"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"476"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"477"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"478"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"479","bos ducati  sabaran tes motornya  mandalika sirkuit   ",0,"Netral"
"480"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"481"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"482"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"483"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"484"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"485"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"486"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"487"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"488"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"489"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"490"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"491"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"492"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"493"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"494"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"495"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"496"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"497"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"498","  pembalap   merasakan  ngarit  tengahtengah sirkuit mandalika lombok indones",0,"Netral"
"499"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"500"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"501"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"502"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"503"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"504"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"505"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"506"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"507"," targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans  sea",0,"Netral"
"508","targetnya  agustus    pengakuan fia  fim balapannya    bikin  le mans a ",0,"Netral"
"509","kandidat kuat calon pemenang super bike  sirkuit mandalika     ",1,"Positif"
"510","daftar  pembalap   gelut  sirkuit mandalika     ",-1,"Negatif"
"511","  tau produk bomag  ya   menyukseskan pembangunan sirkuit mandalika   kolom komentar ",1,"Positif"
"512","sobat ut  tau  aspal    sirkuit mandalika dipadatkan  bomag pneumatic tired r ",1,"Positif"
"513","  mandalika grand prix association mgpa  berbenah  menyambut balapan motogp   indonesia ",0,"Netral"
"514"," indonesia  tuan rumah pasa ajang balap motor bergengsi rider papan   world superbike wsbk  sirkuit man",0,"Netral"
"515","berita motogp jelang gp indonesia  sirkuit mandalika  rider muda putus dominasi marc marquez ",0,"Netral"
"516"," bandingkan dg commitment fee balap tamiya mencapai rp  t  bergengsi   balap  mandalika  mengan",0,"Netral"
"517"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"518"," halo     salam  tuan rumah motogp  nih  eits    sirkuit kelas internasio",1,"Positif"
"519","sambut event  sirkuit mandalika agen travel  homestay siapkan paket wisata ",0,"Netral"
"520","sambut event  sirkuit mandalika agen travel  homestay siapkan paket wisata  ",0,"Netral"
"521"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"522"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"523"," bandingkan dg commitment fee balap tamiya mencapai rp  t  bergengsi   balap  mandalika  mengan",0,"Netral"
"524"," bandingkan dg commitment fee balap tamiya mencapai rp  t  bergengsi   balap  mandalika  mengan",0,"Netral"
"525","bandingkan dg commitment fee balap tamiya mencapai rp  t  bergengsi   balap  mandalika  me ",0,"Netral"
"526","  sejatinya org yg  mjd presiden  mrk yg  berpikir scr nasionalapapun yg  utk kep",-1,"Negatif"
"527","sambut balapan  sirkuit mandalika mgpa  rilis harga tiket motogp indonesia  ",0,"Netral"
"528","grand prix indonesia  motogp   surga lombok  informasi praktis  berguna  acara   acarany ",2,"Positif"
"529","   menyaksikan langsung pembalappembalap dunia berlaga   mata  negeri     sirkuit mandalika",-2,"Negatif"
"530"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"531"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"532"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"533","  takut proyek balap f pindah  indonesia  indonesia   sirkuit mandalika y ",-1,"Negatif"
"534"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"535","  memangnya motogp sdh dilaksanakan  mandalika ya om  mengkritisi  tp mbok ya   kuran",-2,"Negatif"
"536"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"537","  presiden ku tercinta berilah sy kerja  sirkuit mandalika ",1,"Positif"
"538","halo  presiden  jumat  meresmikan jalan bypass bandara international lombok bil  ",0,"Netral"
"539","  memangnya motogp sdh dilaksanakan  mandalika ya om  mengkritisi  tp mbok ya   kuran",-2,"Negatif"
"540","  memangnya motogp sdh dilaksanakan  mandalika ya om  mengkritisi  tp mbok ya   kuran",-2,"Negatif"
"541","kartu   maksudnya  sirkuit mandalika esemka ",-1,"Negatif"
"542"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"543"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"544"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"545"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"546","  pagi   meninggalkan jakarta  nusa tenggara barat     meninjau  meresmikan sirkui",0,"Netral"
"547"," bersamaan  sirkuit mandalika   meresmikan jalan bypass   kilometer  menghubungkan bandara inter",0,"Netral"
"548"," ajangajang balap kelas dunia   digelar  sirkuit mandalika      resmikan  lombok  ntb sirkui",0,"Netral"
"549"," sirkuit mandalika  diguyur hujan     turun  menjajalnya  sepeda motor      ya",-3,"Negatif"
"550"," ajangajang balap kelas dunia   digelar  sirkuit mandalika lombok  ntb kemarin  meresmikan sirkuit sepa",0,"Netral"
"551","  menjajal sirkuit mandalika sepenuhnya  dukungan produk  negeri helm jaket celanasarung tangan  sepat",1,"Positif"
"552"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"553"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"554"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"555","   menyaksikan langsung pembalappembalap dunia berlaga   mata  negeri     sirkuit mandalika",-2,"Negatif"
"556"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"557"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"558","jelang motogp  pengelola sirkuit mandalika  rencana peningkatan fasilitas balap  ",1,"Positif"
"559"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"560"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"561"," ketikannya blepotan  mending sblm klik tombol tweet dibaca     trus edit ejaannya ",0,"Netral"
"562","  dampak ekonomi yg  hasilkan dr sirkuit mandalika krn mmg  bangun dg perencanaan jangka pjg bkn  sekedar pencit",-1,"Negatif"
"563"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"564"," jelang motogp indonesia  pengelola sirkuit mandalika fokus      ",0,"Netral"
"565"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"566"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"567","  sukses menggelar final world superbike sbk sirkuit mandalika   dibenahi  menyambut gelaran motogp",3,"Positif"
"568","  memangnya motogp sdh dilaksanakan  mandalika ya om  mengkritisi  tp mbok ya   kuran",-2,"Negatif"
"569"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"570"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"571"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"572"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"573","  sukses menggelar final world superbike sbk sirkuit mandalika   dibenahi  menyambut gelaran motogp",3,"Positif"
"574"," sukses menggelar final world superbike sbk sirkuit mandalika   dibenahi  menyambut gelar ",3,"Positif"
"575"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"576"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"577"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"578"," baca nih wartawan sontoloyo  ",-1,"Negatif"
"579","antisipasi lonjakan penonton  ",0,"Netral"
