"","text","score","polarity"
"66","bani bipang yg banggain mandalika  kejang baca   maksa bikin sirkuit   utk jd kolam lumpur dike ",0,"Netral"
"67"," kementerian pekerjaan   perumahan rakyat pupr melanjutkan penataan koridor jalan bypass bandara international",-1,"Negatif"
"68"," pupr hijaukan jalan bypass bilmandalika  kementerian pupr melanjutkan penataan koridor jalan bypass bandara internation",0,"Netral"
"69","  menjajal sirkuit mandalika sepenuhnya  dukungan produk  negeri helm jaket celanasarung tangan  sepat",1,"Positif"
"70"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"71","presiden   mantan panglima tni marsekal tni purnhadi tjahjantosebagai komandan lapangan moto gp ",1,"Positif"
"72"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"73","kementerian puprmelanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika  nusa ten ",0,"Netral"
"74","kementerian puprmelanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika  nusa ten ",0,"Netral"
"75"," sambut ktt g pembangunan jalan  bali tiru sirkuit mandalika ",0,"Netral"
"76"," sirkuit mandalika  tolak ukur bangun infrastruktur  bali  presidensi g ",0,"Netral"
"77","  usut  sirkuit mandalika ",0,"Netral"
"78","kementerian puprmelanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika  nusa ten ",0,"Netral"
"79"," niku sirkuit mandalika sisan mboten den dipindah ben ono pemasukan saking ajang balap",0,"Netral"
"80","kementerian pekerjaan   perumahan rakyat pupr melanjutkan penataan koridor jalan bypass bandara internatio ",-1,"Negatif"
"81","kementerian pekerjaan   perumahan rakyat pupr melanjutkan penataan koridor jalan bypass bandara internatio ",-1,"Negatif"
"82","kementerian pekerjaan   perumahan rakyat pupr melanjutkan penataan koridor jalan bypass bandara internatio ",-1,"Negatif"
"83","kementerian pekerjaan   perumahan rakyat pupr melanjutkan penataan koridor jalan bypass bandara internatio ",-1,"Negatif"
"84","lihat sunset  sirkuit mandalika   tempatnya ",0,"Netral"
"85","sambut ktt g pembangunan jalan  bali tiru sirkuit mandalika ",0,"Netral"
"86","sirkuit mandalika  tolak ukur bangun infrastruktur  bali  presidensi g ",0,"Netral"
"87","kementerian pekerjaan   perumahan rakyat pupr melanjutkan penataan koridor jalan bypass bandara internatio ",-1,"Negatif"
"88","   bangga  diatas penderitaaan rakyat   cebong  nuraninya seupil kodok ",1,"Positif"
"89","pembangunan infrastruktur sirkuit mandalika dikebut jelang motogp by  news  arenanews  ",1,"Positif"
"90"," ajang world superbike sukses digelar  sirkuit mandalika ntb  november  sirkuit kebanggaan indonesia   baka",2,"Positif"
"91","harga tiket motogp indonesia   sirkuit mandalika  diumumkan kapasitas tribun ditambah ",0,"Netral"
"92"," euforia   sirkuit mandalika  santer terdengar gaungnya  suara warga   kepala keluarga  dusu",-1,"Negatif"
"93"," melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika  nusa tenggara ba ",0,"Netral"
"94","       gx ad yg bahas  maslahatan mo ",0,"Netral"
"95"," mandalika sirkuit kebanggaan bangsa   dijaga  citranya pasca wsbk    kejadian konyol",1,"Positif"
"96","  ga ngerti  ga kompeten  bidang    bandingin aja ama wkt mandalika  beroperasi   yg ny",1,"Positif"
"97","pupr hijaukan jalan bypass bilmandalika  kementerian pupr melanjutkan penataan koridor jalan bypass bandara intern ",0,"Netral"
"98","ajang world superbike sukses digelar  sirkuit mandalika ntb  november  sirkuit kebanggaan indonesia  ",2,"Positif"
"99"," ajang world superbike sukses digelar  sirkuit mandalika ntb  november  sirkuit kebanggaan indonesia   baka",2,"Positif"
"100","ajang world superbike sukses digelar  sirkuit mandalika ntb  november  sirkuit kebanggaan indonesia  ",2,"Positif"
"101","    mandalika sirkuit kepunyaan china sentrisbung  sirkuit formula e  jakarta area",0,"Netral"
"102","   mandalika sirkuit kepunyaan china sentrisbung  sirkuit formula e  jakart ",0,"Netral"
"103","kementrian pupr melanjutkan penataan koridor jalan bypass bandara international lombok bilmandalika  nusa teng ",0,"Netral"
"104","polda nusa tenggara barat ntb memprediksi  penonton balap motogp   sirkuit mandalika mencapai  rib ",0,"Netral"
"105","pintu masuk  tribun sirkuit mandalika bertambah   news bengkulu ",1,"Positif"
"106"," bener sis  enak aja bu doktor titip   indonesia    titip  barang berharga berguna ",2,"Positif"
"107"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"108","jadwal motogp  marc marquez   membaik    jajal sirkuit mandalika ",1,"Positif"
"109"," selamat  tugas    hadi  sukses  sehat     ",3,"Positif"
"110"," penonton  menonton perhelatan balap motogp  diprediksi  sirkuit mandalikamencapai  ribu orang ",0,"Netral"
"111","selamat  tugas    hadi  sukses  sehat     ",3,"Positif"
"112","  mengirim foto  sirkuit mandalika lombok ",0,"Netral"
"113"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"114"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"115"," raih gelar juara dunia wsbk   sirkuit mandalika toprak incar posisi dovizioso  motogp ",0,"Netral"
"116"," raih gelar juara dunia wsbk   sirkuit mandalika toprak incar posisi dovizioso  motogp ",0,"Netral"
"117"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"118"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"119"," skuad astra honda racing team  latihan  sirkuit mandalika ",0,"Netral"
"120","skuad astra honda racing team  latihan  sirkuit mandalika   ",0,"Netral"
"121","skuad astra honda racing team  latihan  sirkuit mandalika ",0,"Netral"
"122","pembangunan infrastruktur sirkuit mandalika dikebut jelang motogp  ",1,"Positif"
"123"," sirkuit mandalika  berbenah sambut motogp  ",0,"Netral"
"124","sirkuit mandalika  berbenah sambut motogp  ",0,"Netral"
"125"," pengin tau gimana  jakpro balikinnya tu duit yg dipinjam dlm rangka formula e krn fe  sing ",0,"Netral"
"126","mandalika menyambut kehadiran  pebalap motogp  menjalani tes pramusim  februari   momen pent ",0,"Netral"
"127"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"128"," presiden jokowi  mantan panglima tni pimpin motogp indonesia   sirkuit mandalika    marsekal purn hadi",0,"Netral"
"129","presiden jokowi  mantan panglima tni pimpin motogp indonesia   sirkuit mandalika ",0,"Netral"
"130"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"131"," dampak ekonomi sirkuit mandalika   trilyunbanyak  nih dampaknya ",-1,"Negatif"
"132"," presiden jokowi  mantan panglima tni pimpin motogp indonesia   sirkuit mandalika    marsekal purn hadi",0,"Netral"
"133"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"134"," wuihhh mantap nih  kaleng marsekal hadi euy   event motogp  arena penunjang  dipersiapk",0,"Netral"
"135"," subhanallah motif sasak subahnale   sirkuit mandalika ",0,"Netral"
"136","subhanallah motif sasak subahnale   sirkuit mandalika ",0,"Netral"
